"","player","i","pos","age","tm","g","mp_per_game","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","efgpercent","ft","fta","ftpercent","orb","drb","trb","ast","stl","blk","tov","pf","ps_g","mp_total","per","tspercent","x3par","ftr","orbpercent","drbpercent","astpercent","stlpercent","blkpercent","tovpercent","usgpercent","ows","dws","ws","ws_48","obpm","dbpm","vorp"
"493","Kawhi Leonard",2016,"SF",24,"SAS",72,33.1,7.7,15.1,0.506,1.8,4,0.443,5.9,11.1,0.528,0.565,4.1,4.6,0.874,1.3,5.5,6.8,2.6,1.8,1,1.5,1.8,21.2,2380,26,0.616,0.267,0.306,4.7,18.4,13,2.8,2.3,7.8,25.8,8.3,5.5,13.7,0.277,5.5,2.8,6.2
"494","Kawhi Leonard",2017,"SF",25,"SAS",74,33.4,8.6,17.7,0.485,2,5.2,0.38,6.6,12.5,0.529,0.541,6.3,7.2,0.88,1.1,4.7,5.8,3.5,1.8,0.7,2.1,1.6,25.5,2474,27.6,0.61,0.295,0.406,3.7,15.7,18.9,2.7,1.8,9.1,31.1,8.9,4.7,13.6,0.264,6.4,1.5,6.2
"495","Kelly Tripucka",1982,"SF",22,"DET",82,37.5,7.8,15.6,0.496,0.1,0.3,0.227,7.7,15.4,0.501,0.498,6,7.6,0.797,2.7,2.7,5.4,3.3,1.1,0.2,3.4,2.9,21.6,3077,16.4,0.57,0.017,0.485,7.6,8.2,12.7,1.3,0.3,15.3,23.3,5.4,2.1,7.5,0.117,2.2,-1,2.5
"496","Kelly Tripucka",1984,"SF",24,"DET",76,32.8,7.8,17.1,0.459,0,0.2,0.118,7.8,16.8,0.464,0.46,5.6,6.9,0.815,1.6,2.5,4.1,3,0.9,0.2,2.5,2.5,21.3,2493,16.8,0.53,0.013,0.404,4.9,8.3,12.8,1.2,0.4,11.1,26.5,4.1,1.5,5.7,0.109,1.2,-2,0.8
"497","Kemba Walker",2017,"PG",26,"CHO",79,34.7,8.1,18.3,0.444,3,7.6,0.399,5.1,10.7,0.476,0.527,3.8,4.5,0.847,0.6,3.3,3.9,5.5,1.1,0.3,2.1,1.5,23.2,2739,21.3,0.569,0.415,0.248,1.8,10.6,29.1,1.6,0.7,9.5,29.2,5.9,2.2,8.1,0.142,5.3,-1.7,3.9
"498","Kemba Walker",2018,"PG",27,"CHO",80,34.2,7.4,17,0.431,2.9,7.5,0.384,4.5,9.5,0.469,0.516,4.5,5.3,0.864,0.4,2.7,3.1,5.6,1.1,0.3,2.2,1.2,22.1,2736,20.6,0.572,0.441,0.308,1.2,8.7,27.4,1.6,0.7,10.4,27.4,6.5,2,8.5,0.15,5.1,-1.9,3.6
"499","Kenny Anderson",1994,"PG",23,"NJN",82,38.2,7,16.8,0.417,0.5,1.6,0.303,6.5,15.2,0.429,0.432,4.2,5.2,0.818,1.1,2.8,3.9,9.6,1.9,0.2,3.2,2.5,18.8,3135,18.2,0.491,0.096,0.306,2.9,8,40.6,2.5,0.3,14.5,24.6,4.3,3.2,7.5,0.114,2.7,-0.6,3.2
"500","Kenyon Martin",2004,"PF",26,"NJN",65,34.6,6.8,13.8,0.488,0.1,0.4,0.28,6.6,13.5,0.494,0.492,3.1,4.5,0.684,2,7.4,9.4,2.5,1.5,1.3,2.6,3.5,16.7,2252,18.7,0.528,0.028,0.327,7,25.3,13.7,2.3,2.8,14,25,1.5,5.1,6.7,0.142,-1,2.9,2.2
"501","Kermit Washington",1980,"PF",28,"POR",80,33.2,5.3,9.5,0.553,0,0,0,5.3,9.5,0.555,0.553,2.9,4.5,0.642,4.1,6.5,10.6,2.1,0.9,1.6,2.1,3.8,13.4,2657,18.2,0.584,0.004,0.473,13.2,21.7,8.9,1.3,2.9,15.6,16.8,5.2,4,9.1,0.165,1.7,2.1,3.9
"502","Kevin Duckworth",1989,"C",24,"POR",79,33.7,7,14.7,0.477,0,0,0,7,14.7,0.478,0.477,4.1,5.4,0.757,3.1,4.9,8,0.8,0.7,0.6,2.5,3.8,18.1,2662,13.9,0.531,0.002,0.369,9.7,16.4,3.1,1,1.1,12.9,22.4,2.5,2.3,4.8,0.086,-1.7,-2,-1.1
"503","Kevin Duckworth",1991,"C",26,"POR",81,31,6.4,13.4,0.481,0,0,0,6.4,13.4,0.482,0.481,3,3.8,0.772,2.2,4.4,6.6,1.1,0.4,0.4,2.3,3.1,15.8,2511,12.7,0.525,0.002,0.287,7.9,15.4,5.1,0.6,0.8,13.2,22.8,1.3,3,4.3,0.082,-2.1,-1,-0.7
"504","Kevin Durant",2010,"SF",21,"OKC",82,39.5,9.7,20.3,0.476,1.6,4.3,0.365,8.1,16.1,0.506,0.514,9.2,10.2,0.9,1.3,6.3,7.6,2.8,1.4,1,3.3,2.1,30.1,3239,26.2,0.607,0.21,0.504,3.8,17.9,13.5,1.8,1.9,11.7,32,11.1,5,16.1,0.238,4.9,0.2,5.8
"505","Kevin Durant",2011,"SF",22,"OKC",78,38.9,9.1,19.7,0.462,1.9,5.3,0.35,7.3,14.4,0.504,0.509,7.6,8.7,0.88,0.7,6.1,6.8,2.7,1.1,1,2.8,2,27.7,3038,23.6,0.589,0.269,0.439,2.3,17.7,13.2,1.5,1.8,10.6,30.6,8.6,3.3,12,0.189,3.7,-0.8,3.7
"506","Kevin Durant",2012,"SF",23,"OKC",66,38.6,9.7,19.7,0.496,2,5.2,0.387,7.7,14.4,0.535,0.547,6.5,7.6,0.86,0.6,7.4,8,3.5,1.3,1.2,3.8,2,28,2546,26.2,0.61,0.265,0.386,1.9,20.4,17.5,1.8,2.2,14,31.3,8.5,3.7,12.2,0.23,4.7,0.5,4.6
"507","Kevin Durant",2013,"SF",24,"OKC",81,38.5,9,17.7,0.51,1.7,4.1,0.416,7.3,13.6,0.539,0.559,8.4,9.3,0.905,0.6,7.3,7.9,4.6,1.4,1.3,3.5,1.8,28.1,3119,28.3,0.647,0.233,0.523,1.8,20.3,21.7,1.9,2.6,13.7,29.8,13.6,5.3,18.9,0.291,6.2,1.4,7.6
"508","Kevin Durant",2014,"SF",25,"OKC",81,38.5,10.5,20.8,0.503,2.4,6.1,0.391,8.1,14.8,0.549,0.56,8.7,9.9,0.873,0.7,6.7,7.4,5.5,1.3,0.7,3.5,2.1,32,3122,29.8,0.635,0.291,0.477,2.2,18.6,26.7,1.7,1.5,12.2,33,14.8,4.4,19.2,0.295,8.4,0.4,8.5
"509","Kevin Durant",2015,"SF",26,"OKC",27,33.8,8.8,17.3,0.51,2.4,5.9,0.403,6.4,11.4,0.565,0.578,5.4,6.3,0.854,0.6,6,6.6,4.1,0.9,0.9,2.7,1.5,25.4,913,27.6,0.633,0.34,0.366,1.9,18.7,22.2,1.3,2.2,12,29.1,3.8,1,4.8,0.252,6.3,-0.2,1.9
"510","Kevin Durant",2016,"SF",27,"OKC",72,35.8,9.7,19.2,0.505,2.6,6.7,0.387,7.1,12.5,0.569,0.573,6.2,6.9,0.898,0.6,7.6,8.2,5,1,1.2,3.5,1.9,28.2,2578,28.2,0.634,0.348,0.361,2,21.8,24.2,1.3,2.5,13.5,30.6,11,3.5,14.5,0.27,7,0.9,6.4
"511","Kevin Durant",2017,"PF",28,"GSW",62,33.4,8.9,16.5,0.537,1.9,5,0.375,7,11.5,0.608,0.594,5.4,6.2,0.875,0.6,7.6,8.2,4.8,1.1,1.6,2.2,1.9,25.1,2070,27.6,0.651,0.304,0.374,2.2,23.6,23.1,1.5,3.8,10.4,27.8,8,4,12,0.278,5.4,2.6,5.2
"512","Kevin Durant",2018,"PF",29,"GSW",68,34.2,9.3,18,0.516,2.5,6.1,0.419,6.7,11.9,0.565,0.586,5.3,5.9,0.889,0.5,6.4,6.9,5.4,0.7,1.8,3,2,26.4,2325,26,0.64,0.338,0.331,1.6,19.5,25.5,1,4,12.9,30.4,7.5,2.9,10.4,0.215,5,0.7,4.5
"513","Kevin Garnett",1997,"SF",20,"MIN",77,38.9,7.1,14.3,0.499,0.1,0.3,0.286,7.1,14,0.503,0.502,2.7,3.5,0.754,2.5,5.6,8.1,3.1,1.4,2.1,2.3,2.6,17,2995,18.2,0.537,0.019,0.247,7.6,16.8,14.1,1.9,4.1,12.5,21.3,3.4,3.9,7.3,0.116,0.3,2.6,3.7
"514","Kevin Garnett",1998,"PF",21,"MIN",82,39.3,7.7,15.8,0.491,0,0.2,0.188,7.7,15.6,0.495,0.492,3,4,0.738,2.7,6.9,9.6,4.2,1.7,1.8,2.3,2.7,18.5,3222,20.4,0.527,0.012,0.257,7.9,19.7,18.2,2.2,3.3,11.8,22.5,5.3,4.2,9.6,0.143,1.9,2.9,5.5
"515","Kevin Garnett",2000,"PF",23,"MIN",81,40,9.4,18.8,0.497,0.4,1,0.37,9,17.8,0.504,0.507,3.8,5,0.765,2.8,9,11.8,5,1.5,1.6,3.3,2.5,22.9,3243,23.6,0.545,0.053,0.265,7.9,26.6,21.5,1.9,2.8,13.6,27.4,6.1,5.6,11.6,0.172,3.1,3,6.6
"516","Kevin Garnett",2001,"PF",24,"MIN",81,39.5,8.7,18.2,0.477,0.2,0.8,0.288,8.5,17.4,0.486,0.484,4.4,5.8,0.764,2.7,8.7,11.4,5,1.4,1.8,2.8,2.5,22,3202,23.9,0.531,0.045,0.317,7.7,25.3,21.8,1.8,3.2,12,27,7,4.8,11.8,0.176,3,2.7,6.2
"517","Kevin Garnett",2002,"PF",25,"MIN",81,39.2,8.1,17.3,0.47,0.5,1.4,0.319,7.7,15.9,0.484,0.484,4.4,5.5,0.801,3,9.1,12.1,5.2,1.2,1.6,2.8,2.3,21.2,3175,23.8,0.536,0.083,0.32,9,26.5,22.4,1.6,2.9,12.5,26,7.9,4.9,12.8,0.194,3.6,3.1,7
"518","Kevin Garnett",2003,"PF",26,"MIN",82,40.5,9.1,18.1,0.502,0.2,0.9,0.282,8.8,17.2,0.513,0.508,4.6,6.1,0.751,3,10.5,13.5,6,1.4,1.6,2.8,2.4,23,3321,26.4,0.553,0.048,0.339,8.6,28.5,25.8,1.8,2.8,11.9,26.4,9.8,5.8,15.6,0.225,5,3.7,9
"519","Kevin Garnett",2004,"PF",27,"MIN",82,39.4,9.8,19.6,0.499,0.1,0.5,0.256,9.7,19.1,0.506,0.502,4.5,5.7,0.791,3,10.9,13.9,5,1.5,2.2,2.6,2.5,24.2,3231,29.4,0.547,0.027,0.289,9.1,30,24.4,2,4,10.5,29.6,10.4,8,18.3,0.272,4.9,5,9.8
"520","Kevin Garnett",2005,"PF",28,"MIN",82,38.1,8.3,16.6,0.502,0.1,0.3,0.24,8.3,16.3,0.507,0.504,5.4,6.7,0.811,3,10.5,13.5,5.7,1.5,1.4,2.7,2.5,22.2,3121,28.2,0.567,0.018,0.404,9.5,30.2,27.1,2.1,2.6,12.2,27.1,10.1,6,16.1,0.248,5.3,4.4,9.3
"521","Kevin Garnett",2006,"PF",29,"MIN",76,38.9,8.2,15.7,0.526,0.1,0.4,0.267,8.1,15.3,0.532,0.529,5.2,6.4,0.81,2.8,9.9,12.7,4.1,1.4,1.4,2.4,2.7,21.8,2957,26.8,0.589,0.025,0.411,8.9,29.7,20.2,1.9,2.7,11.3,25.5,9,5.9,14.9,0.242,4.4,3.5,7.4
"522","Kevin Garnett",2007,"PF",30,"MIN",76,39.4,8.4,17.6,0.476,0.2,0.7,0.214,8.2,16.9,0.487,0.48,5.5,6.6,0.835,2.4,10.4,12.8,4.1,1.2,1.7,2.7,2.4,22.4,2995,24.1,0.546,0.042,0.371,7.5,30.8,19.5,1.6,3.2,11.6,27.4,5.7,4.9,10.7,0.171,1.8,3.2,5.2
"523","Kevin Garnett",2009,"PF",32,"BOS",57,31.1,6.9,13,0.531,0,0.1,0.25,6.9,12.8,0.534,0.532,1.9,2.3,0.841,1.4,7.1,8.5,2.5,1.1,1.2,1.6,2.2,15.8,1772,21.2,0.563,0.011,0.178,5.6,26.7,14.7,1.9,3.1,10.1,23.4,3,4.1,7.1,0.193,0.2,3.7,2.7
"524","Kevin Garnett",2010,"PF",33,"BOS",69,29.9,5.8,11.2,0.521,0,0.1,0.2,5.8,11.1,0.523,0.521,2.7,3.2,0.837,1.1,6.2,7.3,2.7,1,0.8,1.5,2.5,14.3,2060,19.4,0.569,0.006,0.286,4.8,24.8,15.7,1.7,2.2,10.4,22.1,3.6,3.8,7.3,0.171,0,2.6,2.4
"525","Kevin Garnett",2011,"PF",34,"BOS",71,31.3,6.1,11.6,0.528,0,0.1,0.2,6.1,11.5,0.53,0.529,2.6,3.1,0.862,1.2,7.7,8.9,2.4,1.3,0.8,1.6,2.1,14.9,2220,20.6,0.575,0.006,0.264,4.9,28.7,13.5,2.3,2,11.1,22.3,3.4,5.6,9,0.194,0,4.1,3.4
"526","Kevin Garnett",2013,"C",36,"BOS",68,29.7,6.2,12.5,0.496,0,0.2,0.125,6.2,12.3,0.504,0.498,2.3,3,0.786,1.1,6.7,7.8,2.3,1.1,0.9,1.6,2.3,14.8,2022,19.2,0.535,0.019,0.236,4.5,25.8,14.4,2,2.4,10.5,24.5,1.8,3.8,5.6,0.133,-1.2,2.3,1.5
"527","Kevin Johnson",1990,"PG",23,"PHO",74,37.6,7.8,15.7,0.499,0.1,0.6,0.195,7.7,15.1,0.51,0.502,6.8,8.1,0.838,0.6,3.1,3.7,11.4,1.3,0.2,3.6,1.9,22.5,2782,22.8,0.585,0.035,0.516,1.8,8.4,44.4,1.6,0.3,15.6,25,9,2.6,11.6,0.2,4.9,-1.2,4
"528","Kevin Johnson",1991,"PG",24,"PHO",77,36,7.7,14.9,0.516,0.1,0.6,0.205,7.6,14.3,0.529,0.52,6.7,8,0.843,0.7,2.8,3.5,10.1,2.1,0.1,3.5,2.3,22.2,2772,23.7,0.604,0.038,0.538,2.2,8.1,40.7,2.8,0.2,16,24.8,9.5,3.3,12.7,0.22,5.6,-0.4,5.1
"529","Kevin Johnson",1994,"PG",27,"PHO",67,36.6,7.1,14.6,0.487,0.1,0.4,0.222,7,14.2,0.494,0.49,5.7,6.9,0.819,0.8,1.7,2.5,9.5,1.9,0.1,3.5,1.9,20,2449,20.6,0.566,0.028,0.473,2.6,5.1,38.5,2.5,0.3,16.6,24.3,7,1.7,8.7,0.17,3.2,-2.3,1.8
"530","Kevin Love",2011,"PF",22,"MIN",73,35.8,6.6,14.1,0.47,1.2,2.9,0.417,5.4,11.2,0.483,0.513,5.8,6.8,0.85,4.5,10.7,15.2,2.5,0.6,0.4,2.1,2,20.2,2611,24.3,0.593,0.206,0.486,13.7,34.2,11.8,0.9,0.8,11.1,22.9,8.9,2.5,11.4,0.21,3.9,-0.2,3.8
"531","Kevin Love",2012,"PF",23,"MIN",55,39,8.6,19.3,0.448,1.9,5.1,0.372,6.7,14.1,0.475,0.497,6.9,8.4,0.824,4.1,9.2,13.3,2,0.9,0.5,2.3,2.8,26,2145,25.4,0.568,0.266,0.434,11.6,26.4,10,1.1,0.9,9.2,28.8,7.6,2.3,10,0.223,5.1,-0.6,3.5
"532","Kevin Love",2014,"PF",25,"MIN",77,36.3,8.4,18.5,0.457,2.5,6.6,0.376,6,11.9,0.502,0.524,6.8,8.2,0.821,2.9,9.6,12.5,4.4,0.8,0.5,2.5,1.8,26.1,2797,26.9,0.591,0.355,0.445,8.5,29.5,21.4,1,1,10.3,28.8,10.6,3.7,14.3,0.245,7.2,1.2,7.3
"533","Kevin McHale",1984,"PF",26,"BOS",82,31.4,7.2,12.9,0.556,0,0,0.333,7.1,12.8,0.557,0.557,4.1,5.4,0.765,2.5,4.9,7.4,1.3,0.3,1.5,1.8,3,18.4,2577,20,0.605,0.003,0.416,9.5,17.1,6,0.4,2.7,10.7,22.3,7,3.5,10.5,0.196,2,-0.3,2.4
"534","Kevin McHale",1986,"PF",28,"BOS",68,35.3,8.3,14.4,0.574,0,0,0,8.3,14.4,0.574,0.574,4.8,6.2,0.776,2.5,5.6,8.1,2.7,0.4,2,2.2,2.8,21.3,2397,21.6,0.623,0,0.429,8.4,16.4,10.8,0.6,3.1,11.4,22.5,7.2,3.8,11,0.22,3.4,1.2,4
"535","Kevin McHale",1987,"PF",29,"BOS",77,39.7,10.3,17,0.604,0,0.1,0,10.3,16.9,0.606,0.604,5.6,6.6,0.836,3.2,6.7,9.9,2.6,0.5,2.2,2.6,3.1,26.1,3060,24,0.655,0.003,0.392,9.9,17.5,9.8,0.6,3.1,11.4,24.1,10.8,4,14.8,0.232,4.7,0.6,5.6
"536","Kevin McHale",1988,"PF",30,"BOS",64,37.3,8.6,14.2,0.604,0,0,0,8.6,14.2,0.604,0.604,5.4,6.8,0.797,2.5,5.9,8.4,2.7,0.4,1.4,2.2,2.8,22.6,2390,21.9,0.656,0,0.476,8.4,17.5,10.5,0.6,2.2,11.3,22.3,8.2,2,10.2,0.205,4.2,-0.1,3.7
"537","Kevin McHale",1989,"PF",31,"BOS",78,36.9,8.5,15.5,0.546,0,0.1,0,8.5,15.5,0.548,0.546,5.6,6.8,0.818,2.9,5.3,8.2,2.2,0.3,1.2,2.5,2.9,22.5,2876,20.3,0.608,0.003,0.44,9,16.3,9.1,0.4,2,11.9,23.7,8.1,1.9,10.1,0.168,3.1,-0.9,3
"538","Kevin McHale",1990,"PF",32,"BOS",82,33.2,7.9,14.4,0.549,0.3,0.8,0.333,7.6,13.6,0.562,0.558,4.8,5.4,0.893,2.5,5.8,8.3,2.1,0.4,1.9,2.2,3,20.9,2722,21.8,0.623,0.058,0.373,8.6,18.4,9.5,0.5,3.3,11.7,24.1,7.8,3.3,11.1,0.195,3.3,0.4,3.9
"539","Kevin McHale",1991,"PF",33,"BOS",68,30.4,7.4,13.4,0.553,0.2,0.5,0.405,7.2,12.9,0.559,0.561,3.4,4,0.829,2.1,4.9,7,1.9,0.4,2.1,2.1,2.9,18.4,2067,21.2,0.606,0.041,0.302,8.4,16.5,8.8,0.6,4,11.9,23.9,5.3,2.6,7.9,0.182,2.2,0.3,2.3
"540","Kevin Willis",1992,"PF",29,"ATL",81,36.6,7.3,15.1,0.483,0.1,0.5,0.162,7.2,14.7,0.493,0.485,3.6,4.5,0.804,5.2,10.4,15.6,2.1,0.9,0.7,2.4,2.8,18.3,2962,19.7,0.535,0.03,0.297,14.7,30.9,8.6,1.2,1.1,12.5,22,4.7,4.1,8.8,0.143,0.6,0.4,2.2
"541","Kiki Vandeweghe",1983,"PF",24,"DEN",82,35.5,10.3,18.7,0.547,0.2,0.6,0.294,10.1,18.1,0.556,0.552,6,6.8,0.875,1.5,3.8,5.3,2.5,0.8,0.5,2.2,2.4,26.7,2909,21.8,0.613,0.033,0.364,4.3,10.9,9.8,1,0.7,9,24.9,10.5,0.6,11,0.182,4.5,-2.8,2.7
"542","Kiki Vandeweghe",1984,"PF",25,"DEN",78,35.1,11.5,20.6,0.558,0.1,0.4,0.367,11.3,20.2,0.562,0.562,6.3,7.4,0.852,1.1,3.7,4.8,3.1,0.7,0.6,2,2.4,29.4,2734,23.6,0.618,0.019,0.362,3.1,11.4,13.1,0.8,1,7.7,27.8,9.7,0.6,10.3,0.181,5,-3.1,2.7
"543","Klay Thompson",2015,"SG",24,"GSW",77,31.9,7.8,16.9,0.463,3.1,7.1,0.439,4.7,9.8,0.481,0.555,2.9,3.3,0.879,0.4,2.9,3.3,2.9,1.1,0.8,1.9,1.6,21.7,2455,20.8,0.591,0.42,0.197,1.2,9.4,14.6,1.7,1.8,9.5,27.6,5.7,3.1,8.8,0.172,3.6,-1,2.9
"544","Klay Thompson",2016,"SG",25,"GSW",80,33.3,8.1,17.3,0.47,3.5,8.1,0.425,4.7,9.2,0.51,0.569,2.4,2.8,0.873,0.4,3.4,3.8,2.1,0.8,0.6,1.7,1.9,22.1,2666,18.6,0.597,0.469,0.159,1.5,10.3,9.8,1.1,1.4,8.5,26.3,5.5,2.6,8,0.144,2.9,-2.2,1.8
"545","Klay Thompson",2017,"SG",26,"GSW",78,34,8.3,17.6,0.468,3.4,8.3,0.414,4.8,9.3,0.516,0.565,2.4,2.8,0.853,0.6,3,3.6,2.1,0.8,0.5,1.6,1.8,22.3,2649,17.4,0.592,0.47,0.158,2.2,9.2,9.3,1.2,1.2,8,26.1,4.2,2.9,7.1,0.129,2.4,-2.1,1.5
"546","Klay Thompson",2018,"SG",27,"GSW",73,34.3,7.9,16.2,0.488,3.1,7.1,0.44,4.7,9,0.526,0.585,1.1,1.3,0.837,0.4,3.4,3.8,2.5,0.8,0.5,1.8,1.6,20,2506,16.1,0.598,0.442,0.083,1.5,10.3,11.2,1.1,1.1,9.5,23.7,3.2,1.8,4.9,0.094,1.8,-2.4,0.9
"547","Kobe Bryant",1998,"SG",19,"LAL",79,26,4.9,11.6,0.428,0.9,2.8,0.341,4,8.8,0.456,0.469,4.6,5.8,0.794,1,2.1,3.1,2.5,0.9,0.5,2,2.3,15.4,2056,18.5,0.548,0.241,0.501,4.5,8.7,16,1.8,1.3,12.4,27.2,4.5,1.8,6.3,0.147,1.9,-1.7,1.1
"548","Kobe Bryant",2000,"SG",21,"LAL",66,38.2,8.4,17.9,0.468,0.7,2.2,0.319,7.7,15.7,0.489,0.488,5,6.1,0.821,1.6,4.7,6.3,4.9,1.6,0.9,2.8,3.3,22.5,2524,21.7,0.546,0.122,0.341,4.6,12.9,22.4,2.2,1.7,11.8,26.8,6.1,4.5,10.6,0.202,3.6,1.7,4.7
"549","Kobe Bryant",2001,"SG",22,"LAL",68,40.9,10.3,22.2,0.464,0.9,2.9,0.305,9.4,19.3,0.489,0.484,7,8.2,0.853,1.5,4.3,5.8,5,1.7,0.6,3.2,3.3,28.5,2783,24.5,0.552,0.132,0.369,4.3,11.8,23,2.1,1.1,11.1,31.8,9.2,2.2,11.3,0.196,5.3,-1,4.4
"550","Kobe Bryant",2002,"SG",23,"LAL",80,38.3,9.4,20,0.469,0.4,1.7,0.25,9,18.3,0.489,0.479,6.1,7.4,0.829,1.4,4.1,5.5,5.5,1.5,0.4,2.8,2.9,25.2,3063,23.2,0.544,0.083,0.369,4.1,11.7,25.9,2,0.8,10.7,30.4,8.9,3.8,12.7,0.199,4.4,0.1,5
"551","Kobe Bryant",2003,"SG",24,"LAL",82,41.5,10.6,23.5,0.451,1.5,4,0.383,9.1,19.5,0.465,0.483,7.3,8.7,0.843,1.3,5.6,6.9,5.9,2.2,0.8,3.5,2.7,30,3401,26.2,0.55,0.168,0.371,3.5,15.3,27.2,2.8,1.4,11.4,32.9,11,4,14.9,0.21,6.1,0.3,7.1
"552","Kobe Bryant",2004,"SG",25,"LAL",65,37.6,7.9,18.1,0.438,1.1,3.3,0.327,6.8,14.8,0.463,0.468,7,8.2,0.852,1.6,3.9,5.5,5.1,1.7,0.4,2.6,2.7,24,2447,23.7,0.551,0.184,0.452,4.7,12,24.4,2.4,0.8,10.8,29.1,7.8,3,10.7,0.21,5.5,0.2,4.7
"553","Kobe Bryant",2005,"SG",26,"LAL",66,40.7,8.7,20.1,0.433,2,5.9,0.339,6.7,14.2,0.472,0.482,8.2,10.1,0.816,1.4,4.5,5.9,6,1.3,0.8,4.1,2.6,27.6,2689,23.3,0.563,0.292,0.502,4,12.4,28.5,1.7,1.4,14.3,31.7,7.1,1,8.1,0.145,5.6,-1,4.5
"554","Kobe Bryant",2006,"SG",27,"LAL",80,41,12.2,27.2,0.45,2.3,6.5,0.347,10,20.7,0.482,0.491,8.7,10.2,0.85,0.9,4.4,5.3,4.5,1.8,0.4,3.1,2.9,35.4,3277,28,0.559,0.238,0.377,2.6,12.7,24.1,2.4,0.7,9,38.7,11.6,3.7,15.3,0.224,7.3,-1.5,6.5
"555","Kobe Bryant",2007,"SG",28,"LAL",77,40.8,10.6,22.8,0.463,1.8,5.2,0.344,8.8,17.6,0.497,0.502,8.7,10,0.868,1,4.7,5.7,5.4,1.4,0.5,3.3,2.7,31.6,3140,26.1,0.58,0.227,0.437,2.8,13.5,25.5,1.8,0.9,10.9,33.6,10.8,2.2,13,0.199,6.1,-1.4,5.3
"556","Kobe Bryant",2008,"SG",29,"LAL",82,38.9,9.5,20.6,0.459,1.8,5.1,0.361,7.6,15.5,0.49,0.503,7.6,9,0.84,1.1,5.2,6.3,5.4,1.8,0.5,3.1,2.8,28.3,3192,24.2,0.576,0.246,0.439,3.4,14.1,23.9,2.4,0.9,11.3,31.4,9.5,4.3,13.8,0.208,5.1,0.3,6
"557","Kobe Bryant",2009,"SG",30,"LAL",82,36.1,9.8,20.9,0.467,1.4,4.1,0.351,8.3,16.8,0.496,0.502,5.9,6.9,0.856,1.1,4.1,5.2,4.9,1.5,0.5,2.6,2.3,26.8,2960,24.4,0.561,0.196,0.329,3.5,12.8,23.8,2.1,1,9.7,32.2,8.6,4,12.7,0.206,4.8,-0.2,4.9
"558","Kobe Bryant",2011,"SG",32,"LAL",82,33.9,9,20,0.451,1.4,4.3,0.323,7.6,15.6,0.487,0.487,5.9,7.1,0.828,1,4.1,5.1,4.7,1.2,0.1,3,2.1,25.3,2779,23.9,0.548,0.217,0.356,3.5,13.3,26.7,1.9,0.3,11.4,35.1,6.8,3.5,10.3,0.178,4.7,-0.9,4.1
"559","Kobe Bryant",2012,"SG",33,"LAL",58,38.5,9.9,23,0.43,1.5,4.9,0.303,8.4,18.1,0.464,0.462,6.6,7.8,0.845,1.1,4.3,5.4,4.6,1.2,0.3,3.5,1.8,27.9,2232,21.9,0.527,0.215,0.338,3.5,11.8,23.7,1.6,0.6,11.7,35.7,4.2,2,6.2,0.132,3.6,-1.4,2.4
"560","Kobe Bryant",2013,"SG",34,"LAL",78,38.6,9.5,20.4,0.463,1.7,5.2,0.324,7.8,15.2,0.51,0.504,6.7,8,0.839,0.8,4.7,5.5,6,1.4,0.3,3.7,2.2,27.3,3013,23,0.57,0.255,0.392,2.5,13.1,29.7,1.8,0.6,13.3,31.9,8.4,2.6,10.9,0.174,5.2,-0.5,5.1
"561","Kobe Bryant",2016,"SF",37,"LAL",66,28.2,6,16.9,0.358,2,7.1,0.285,4,9.8,0.41,0.417,3.5,4.3,0.826,0.6,3.1,3.7,2.8,0.9,0.2,2,1.7,17.6,1863,14.9,0.469,0.42,0.252,2.3,12.3,19.1,1.7,0.5,9.4,32.2,-0.9,0.5,-0.4,-0.01,0.8,-3.3,-0.2
"562","Kyle Korver",2015,"SG",33,"ATL",75,32.2,3.9,8,0.487,2.9,6,0.492,0.9,2,0.47,0.671,1.4,1.6,0.898,0.2,3.9,4.1,2.6,0.7,0.6,1.4,1.9,12.1,2418,14.8,0.699,0.748,0.197,0.7,13.3,12.1,1.1,1.5,14.1,14.4,5,2.4,7.5,0.148,3.1,0.2,3.3
"563","Kyle Lowry",2015,"PG",28,"TOR",70,34.5,6.1,14.9,0.412,1.9,5.6,0.338,4.3,9.3,0.457,0.476,3.6,4.5,0.808,0.8,3.9,4.7,6.8,1.6,0.2,2.5,3,17.8,2414,19.3,0.527,0.375,0.299,2.6,13.1,32.4,2.3,0.4,12.8,25.4,5.1,2,7.1,0.141,4.2,-0.6,3.4
"564","Kyle Lowry",2016,"PG",29,"TOR",77,37,6.6,15.6,0.427,2.8,7.1,0.388,3.9,8.5,0.461,0.516,5.2,6.4,0.811,0.7,4,4.7,6.4,2.1,0.4,2.9,2.7,21.2,2851,22.2,0.578,0.457,0.41,2.2,12.3,29.9,2.9,1,13.7,26.1,8,3.7,11.6,0.196,6.2,0.6,6.3
"565","Kyle Lowry",2017,"PG",30,"TOR",60,37.4,7.1,15.3,0.464,3.2,7.8,0.412,3.9,7.5,0.518,0.569,5,6.1,0.819,0.8,4,4.8,7,1.5,0.3,2.9,2.8,22.4,2244,22.9,0.623,0.51,0.398,2.4,12,29.9,2,0.7,13.8,24.9,7.8,2.3,10.1,0.216,7.1,-0.5,4.9
