"","player","i","pos","age","tm","g","mp_per_game","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","efgpercent","ft","fta","ftpercent","orb","drb","trb","ast","stl","blk","tov","pf","ps_g","mp_total","per","tspercent","x3par","ftr","orbpercent","drbpercent","astpercent","stlpercent","blkpercent","tovpercent","usgpercent","ows","dws","ws","ws_48","obpm","dbpm","vorp"
"369","Isiah Thomas",1987,"PG",25,"DET",81,37.2,7.7,16.7,0.463,0.2,1.2,0.194,7.5,15.5,0.484,0.47,4.9,6.4,0.768,1,2.9,3.9,10,1.9,0.2,4.2,3.1,20.6,3013,18.8,0.528,0.072,0.385,3,8.2,39.3,2.4,0.4,17.8,25.9,3.8,3.8,7.6,0.121,2.8,0.2,3.8
"370","Isiah Thomas",1988,"PG",26,"DET",81,36.1,7.7,16.6,0.463,0.4,1.2,0.309,7.3,15.4,0.475,0.474,3.8,4.9,0.774,0.8,2.6,3.4,8.4,1.7,0.2,3.4,2.7,19.5,2927,18.2,0.521,0.072,0.294,2.5,8,35,2.4,0.3,15.3,25.4,3.8,3.7,7.6,0.124,2.4,0.1,3.3
"371","Isiah Thomas",1989,"PG",27,"DET",80,36.6,7.1,15.3,0.464,0.4,1.5,0.273,6.7,13.8,0.485,0.477,3.6,4.4,0.818,0.6,2.8,3.4,8.3,1.7,0.3,3.7,2.6,18.2,2924,17.1,0.528,0.099,0.286,2,8.3,34.3,2.3,0.4,17.7,24.6,3.1,3.9,7,0.115,1.7,0.5,3.1
"372","Isiah Thomas",1990,"PG",28,"DET",81,37,7.1,16.3,0.438,0.5,1.7,0.309,6.6,14.6,0.453,0.454,3.6,4.7,0.775,0.9,2.9,3.8,9.4,1.7,0.2,4,2.5,18.4,2993,17.3,0.501,0.103,0.285,2.8,8.9,39.4,2.4,0.4,17.8,26,2.1,4.6,6.7,0.107,1.6,0.9,3.4
"373","Isiah Thomas",1992,"PG",30,"DET",78,37.4,7.2,16.2,0.446,0.3,1.1,0.291,6.9,15.1,0.458,0.456,3.7,4.8,0.772,0.9,2.3,3.2,7.2,1.5,0.2,3.2,2.5,18.5,2918,16,0.505,0.068,0.299,2.7,6.9,31.3,2.1,0.3,15,25.3,2.4,3.4,5.8,0.095,1,-0.2,2.1
"374","Isiah Thomas",1993,"PG",31,"DET",79,37,6.7,15.9,0.418,0.8,2.5,0.308,5.9,13.4,0.439,0.442,3.5,4.8,0.737,0.9,2,2.9,8.5,1.6,0.2,3.6,2.8,17.6,2922,15.4,0.488,0.157,0.3,2.6,6.4,35.6,2.2,0.4,16.6,25.1,1.4,2.3,3.7,0.061,1,-0.8,1.6
"375","Jack Sikma",1980,"C",24,"SEA",82,34.1,5.7,12.1,0.475,0,0,0,5.7,12,0.476,0.475,2.9,3.6,0.805,2.4,8.7,11.1,3.4,0.8,0.9,2.5,2.8,14.3,2793,16.5,0.526,0.001,0.295,7.4,26.9,13.7,1.1,1.5,15.3,18.6,3.3,5.3,8.6,0.148,-0.5,2.4,2.8
"376","Jack Sikma",1981,"C",25,"SEA",82,35.6,7.3,16,0.454,0,0.1,0,7.3,15.9,0.456,0.454,4.1,5,0.823,2.2,8.1,10.3,3,1,1.1,2.5,3.4,18.7,2920,18,0.512,0.004,0.315,7.1,24.6,13.2,1.3,1.7,11.9,23.6,3.5,4.5,8,0.132,0.1,1.3,2.6
"377","Jack Sikma",1982,"C",26,"SEA",82,37.2,7.1,14.8,0.479,0,0.2,0.154,7.1,14.6,0.483,0.48,5.5,6.4,0.855,2.7,9.9,12.6,3.4,1.2,1.3,2.6,3.3,19.6,3049,20.6,0.559,0.011,0.432,8.2,28,13.1,1.6,1.9,12.9,22.5,5.9,6.7,12.6,0.199,1.1,2.9,4.7
"378","Jack Sikma",1983,"C",27,"SEA",75,34.2,6.5,13.9,0.464,0,0.1,0,6.5,13.8,0.468,0.464,5.3,6.4,0.837,2.8,8.6,11.4,3.1,1.2,0.9,2.5,3.5,18.2,2564,19.6,0.546,0.008,0.458,9.3,25.7,12.6,1.6,1.3,13.2,22.5,5.2,4.6,9.8,0.183,1.3,1.9,3.4
