"Name","Pos","Team","Week","Date","Opp","Home","Result","Score","Played","Started","Receptions","RecYds","RecLong","RecTDs","RushAtt","RushYds","RushLong","RushTDs","FumLost"
"Marvin Jones","WR","DET",8,"10/29","PIT",1,"L","15-20",1,1,6,128,"43",0,0,0,"0",0,0
"Marvin Jones","WR","DET",9,"11/06","GB",0,"W","30-17",1,1,7,107,"25T",2,0,0,"0",0,0
"Marvin Jones","WR","DET",10,"11/12","CLE",1,"W","38-24",1,1,1,22,"22",0,0,0,"0",0,0
"Marvin Jones","WR","DET",11,"11/19","CHI",0,"W","27-24",1,1,4,85,"28T",1,0,0,"0",0,0
"Marvin Jones","WR","DET",12,"11/23","MIN",1,"L","23-30",1,1,6,109,"43T",2,0,0,"0",0,0
"Marvin Jones","WR","DET",13,"12/03","BAL",0,"L","20-44",1,1,4,90,"46",0,0,0,"0",0,0
"Marvin Jones","WR","DET",14,"12/10","TB",0,"W","24-21",1,1,3,64,"38",0,0,0,"0",0,0
"Marvin Jones","WR","DET",15,"12/16","CHI",1,"W","20-10",1,1,3,85,"58",0,0,0,"0",0,0
"Marvin Jones","WR","DET",16,"12/24","CIN",0,"L","17-26",1,1,3,50,"31",0,0,0,"0",0,0
"Marvin Jones","WR","DET",17,"12/31","GB",1,"W","35-11",1,1,4,81,"56",1,0,0,"0",0,0
"Rob Gronkowski","TE","NE",1,"09/07","KC",1,"L","27-42",1,1,2,33,"17",0,0,0,"0",0,0
"Rob Gronkowski","TE","NE",2,"09/17","NO",0,"W","36-20",1,1,6,116,"53T",1,0,0,"0",0,0
"Rob Gronkowski","TE","NE",3,"09/24","HOU",1,"W","36-33",1,1,8,89,"22",1,0,0,"0",0,0
"Rob Gronkowski","TE","NE",4,"10/01","CAR",1,"L","30-33",1,1,4,80,"43",0,0,0,"0",0,0
"Rob Gronkowski","TE","NE",6,"10/15","NYJ",0,"W","24-17",1,1,6,83,"33T",2,0,0,"0",0,0
"Rob Gronkowski","TE","NE",7,"10/22","ATL",1,"W","23-7",1,1,3,51,"27",0,0,0,"0",0,0
"Rob Gronkowski","TE","NE",8,"10/29","LAC",1,"W","21-13",1,1,5,57,"26",1,0,0,"0",0,0
"Rob Gronkowski","TE","NE",10,"11/12","DEN",0,"W","41-16",1,1,4,74,"26",0,0,0,"0",0,0
"Rob Gronkowski","TE","NE",11,"11/19","OAK",0,"W","33-8",1,1,3,37,"14",0,0,0,"0",0,0
"Rob Gronkowski","TE","NE",12,"11/26","MIA",1,"W","35-17",1,1,5,82,"21",2,0,0,"0",0,0
"Rob Gronkowski","TE","NE",13,"12/03","BUF",0,"W","23-3",1,1,9,147,"30",0,0,0,"0",0,0
"Rob Gronkowski","TE","NE",15,"12/17","PIT",0,"W","27-24",1,1,9,168,"31",0,0,0,"0",0,0
"Rob Gronkowski","TE","NE",16,"12/24","BUF",1,"W","37-16",1,1,5,67,"18",1,0,0,"0",0,0
"Rob Gronkowski","TE","NE",17,"12/31","NYJ",1,"W","26-6",1,1,0,0,"0",0,0,0,"0",0,0
"Brandin Cooks","WR","NE",1,"09/07","KC",1,"L","27-42",1,1,3,88,"54",0,0,0,"0",0,0
"Brandin Cooks","WR","NE",2,"09/17","NO",0,"W","36-20",1,0,2,37,"22",0,2,6,"13",0,0
"Brandin Cooks","WR","NE",3,"09/24","HOU",1,"W","36-33",1,1,5,131,"44",2,0,0,"0",0,0
"Brandin Cooks","WR","NE",4,"10/01","CAR",1,"L","30-33",1,1,3,38,"17",0,1,4,"4",0,0
"Brandin Cooks","WR","NE",5,"10/05","TB",0,"W","19-14",1,1,5,85,"34",0,0,0,"0",0,0
"Brandin Cooks","WR","NE",6,"10/15","NYJ",0,"W","24-17",1,1,6,93,"42",0,0,0,"0",0,0
"Brandin Cooks","WR","NE",7,"10/22","ATL",1,"W","23-7",1,1,4,65,"27",1,0,0,"0",0,0
"Brandin Cooks","WR","NE",8,"10/29","LAC",1,"W","21-13",1,1,5,26,"9",0,0,0,"0",0,0
"Brandin Cooks","WR","NE",10,"11/12","DEN",0,"W","41-16",1,1,6,74,"27",0,0,0,"0",0,0
"Brandin Cooks","WR","NE",11,"11/19","OAK",0,"W","33-8",1,1,6,149,"64T",1,0,0,"0",0,0
"Brandin Cooks","WR","NE",12,"11/26","MIA",1,"W","35-17",1,1,6,83,"37",1,1,11,"11",0,0
"Brandin Cooks","WR","NE",13,"12/03","BUF",0,"W","23-3",1,1,2,17,"13",0,1,5,"5",0,0
