"Name","Pos","Team","Week","Date","Opp","Home","Result","Score","Played","Started","RushAtt","RushYds","RushLong","RushTDs","Receptions","RecYds","RecLong","RecTDs","FumLost"
"Jordan Howard","RB","CHI",1,"09/10","ATL",1,"L","17-23",1,1,13,52,"11",1,3,14,"9",0,0
"Jordan Howard","RB","CHI",2,"09/17","TB",0,"L","7-29",1,1,9,7,"4",0,0,0,"0",0,0
"Jordan Howard","RB","CHI",3,"09/24","PIT",1,"W","23-17",1,1,23,140,"19T",2,5,26,"10",0,1
"Jordan Howard","RB","CHI",4,"09/28","GB",0,"L","14-35",1,1,18,53,"16",1,2,10,"7",0,0
"Jordan Howard","RB","CHI",5,"10/09","MIN",1,"L","17-20",1,1,19,76,"13",0,0,0,"0",0,0
"Jordan Howard","RB","CHI",6,"10/15","BAL",0,"W","27-24",1,1,36,167,"53",0,1,9,"9",0,0
"Jordan Howard","RB","CHI",7,"10/22","CAR",1,"W","17-3",1,1,21,65,"11",0,0,0,"0",0,0
"Jordan Howard","RB","CHI",8,"10/29","NO",0,"L","12-20",1,1,23,102,"50",0,3,19,"12",0,0
"Jordan Howard","RB","CHI",10,"11/12","GB",1,"L","16-23",1,1,15,54,"25",0,0,0,"0",0,0
"Jordan Howard","RB","CHI",11,"11/19","DET",1,"L","24-27",1,1,15,125,"50",1,0,0,"0",0,0
"Jordan Howard","RB","CHI",12,"11/26","PHI",0,"L","3-31",1,1,7,6,"4",0,2,13,"9",0,0
"Jordan Howard","RB","CHI",13,"12/03","SF",1,"L","14-15",1,1,13,38,"14",0,1,-5,"-5",0,0
"Jordan Howard","RB","CHI",14,"12/10","CIN",0,"W","33-7",1,1,23,147,"21T",2,1,8,"8",0,0
"Jordan Howard","RB","CHI",15,"12/16","DET",0,"L","10-20",1,1,10,37,"16",0,4,26,"11",0,0
"Jordan Howard","RB","CHI",16,"12/24","CLE",1,"W","20-3",1,1,22,44,"16T",2,0,0,"0",0,0
"Jordan Howard","RB","CHI",17,"12/31","MIN",0,"L","10-23",1,1,9,9,"4",0,1,5,"5",0,0
"Melvin Gordon","RB","LAC",1,"09/11","DEN",0,"L","21-24",1,1,18,54,"21",0,5,25,"11T",1,0
"Melvin Gordon","RB","LAC",2,"09/17","MIA",1,"L","17-19",1,1,9,13,"11",1,7,65,"16",0,0
"Melvin Gordon","RB","LAC",3,"09/24","KC",1,"L","10-24",1,1,17,79,"14",1,0,0,"0",0,0
"Melvin Gordon","RB","LAC",4,"10/01","PHI",1,"L","24-26",1,1,10,22,"12",0,1,7,"7",0,0
"Melvin Gordon","RB","LAC",5,"10/08","NYG",0,"W","27-22",1,1,20,105,"16",0,6,58,"22",2,0
"Melvin Gordon","RB","LAC",6,"10/15","OAK",0,"W","17-16",1,1,25,83,"18",1,9,67,"14",1,0
"Melvin Gordon","RB","LAC",7,"10/22","DEN",1,"W","21-0",1,1,18,38,"21",0,1,6,"6",0,0
"Melvin Gordon","RB","LAC",8,"10/29","NE",0,"L","13-21",1,1,14,132,"87T",1,1,7,"7",0,0
"Melvin Gordon","RB","LAC",10,"11/12","JAX",0,"L","17-20",1,1,16,27,"5",0,5,15,"9",0,0
"Melvin Gordon","RB","LAC",11,"11/19","BUF",1,"W","54-24",1,1,20,80,"20",1,0,0,"0",0,0
"Melvin Gordon","RB","LAC",12,"11/23","DAL",0,"W","28-6",1,1,21,65,"11",0,3,23,"16",0,0
"Melvin Gordon","RB","LAC",13,"12/03","CLE",1,"W","19-10",1,1,19,77,"29",0,4,29,"14",0,0
"Melvin Gordon","RB","LAC",14,"12/10","WAS",1,"W","30-13",1,1,22,78,"10",1,1,5,"5",0,0
"Melvin Gordon","RB","LAC",15,"12/16","KC",0,"L","13-30",1,1,19,78,"15",1,6,91,"49",0,0
"Melvin Gordon","RB","LAC",16,"12/24","NYJ",0,"W","14-7",1,1,19,81,"19",1,3,47,"39",0,0
"Melvin Gordon","RB","LAC",17,"12/31","OAK",1,"W","30-10",1,1,17,93,"17",0,6,31,"14",0,0
"Leonard Fournette","RB","JAX",1,"09/10","HOU",0,"W","29-7",1,1,26,100,"17",1,3,24,"12",0,0
"Leonard Fournette","RB","JAX",2,"09/17","TEN",1,"L","16-37",1,1,14,40,"7",1,2,21,"11",0,0
"Leonard Fournette","RB","JAX",3,"09/24","BAL",1,"W","44-7",1,1,17,59,"15",1,3,21,"10",0,0
"Leonard Fournette","RB","JAX",4,"10/01","NYJ",0,"L","20-23",1,1,24,86,"11",0,4,59,"28",1,0
"Leonard Fournette","RB","JAX",5,"10/08","PIT",0,"W","30-9",1,1,28,181,"90T",2,1,3,"3",0,0
"Leonard Fournette","RB","JAX",6,"10/15","LA",1,"L","17-27",1,1,21,130,"75T",1,2,8,"6",0,0
"Leonard Fournette","RB","JAX",10,"11/12","LAC",1,"W","20-17",1,1,17,33,"8",0,2,13,"8",0,0
"Leonard Fournette","RB","JAX",11,"11/19","CLE",0,"W","19-7",1,1,28,111,"29",0,2,7,"9",0,0
"Leonard Fournette","RB","JAX",12,"11/26","ARI",0,"L","24-27",1,1,12,25,"8",0,3,17,"17",0,0
"Leonard Fournette","RB","JAX",13,"12/03","IND",1,"W","30-10",1,1,20,57,"24",1,3,22,"11",0,0
"Leonard Fournette","RB","JAX",14,"12/10","SEA",1,"W","30-24",1,1,24,101,"15",1,4,18,"8",0,0
"Leonard Fournette","RB","JAX",16,"12/24","SF",0,"L","33-44",1,1,18,48,"7",1,3,22,"8",0,0
"Leonard Fournette","RB","JAX",17,"12/31","TEN",0,"L","10-15",1,1,19,69,"9",0,4,67,"23",0,0
"C.J. Anderson","RB","DEN",1,"09/11","LAC",1,"W","24-21",1,1,20,81,"18",0,1,7,"7",0,0
"C.J. Anderson","RB","DEN",2,"09/17","DAL",1,"W","42-17",1,1,25,118,"28",1,3,36,"16T",1,0
"C.J. Anderson","RB","DEN",3,"09/24","BUF",0,"L","16-26",1,1,8,36,"32",0,2,7,"5",0,0
